Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
AF-DEP-199809,USAF,Department of Defense,Air Force,1998,AF-DEP,-0.886450339,0.727825996,-2.314730183,0.545378725
AG-DEP-199809,USDA,Department of Agriculture,,1998,AG-DEP,-0.913481773,0.726518604,-2.322314645,0.511554866
AG02-199809,AMS,Department of Agriculture,Agricultural Marketing Service,1998,AG02,-0.740608648,0.730936953,-2.170035337,0.678096689
AG03-199809,ARS,Department of Agriculture,Agricultural Research Service,1998,AG03,-0.173431216,0.729203564,-1.612475465,1.252188917
AG07-199809,RHS,Department of Agriculture,Rural Housing Service,1998,AG07,-0.99310346,0.722209557,-2.401583803,0.415987009
AG08-199809,RMA,Department of Agriculture,Risk Management Agency,1998,AG08,-1.27082359,0.72604979,-2.712663289,0.125061285
AG10-199809,FAS,Department of Agriculture,Foreign Agricultural Service,1998,AG10,0.322403971,0.73014577,-1.109355921,1.752180464
AG11-199809,USFS,Department of Agriculture,Forest Service,1998,AG11,-1.083000781,0.731212459,-2.515413544,0.343576884
AG14-199809,AGGC,Department of Agriculture,Office of the General Counsel,1998,AG14,0.650953927,0.732949151,-0.775036431,2.103620728
AG15-199809,RUS,Department of Agriculture,Rural Utilities Service,1998,AG15,0.091702606,0.711894171,-1.300806764,1.486811061
AG16-199809,NRCS,Department of Agriculture,Natural Resources Conservation Service,1998,AG16,-0.279691766,0.73111136,-1.72842974,1.171354851
AG18-199809,ERS,Department of Agriculture,Economic Research Service,1998,AG18,0.538070111,0.737692495,-0.901495282,1.983641884
AG20-199809,NASS,Department of Agriculture,National Agricultural Statistics Service,1998,AG20,0.074019718,0.725299815,-1.346115007,1.510815892
AG22-199809,NIFA,Department of Agriculture,National Institute of Food and Agriculture,1998,AG22,0.594887183,0.729810975,-0.846294978,2.019816661
AG30-199809,FNS,Department of Agriculture,Food and Nutrition Service,1998,AG30,-0.536449087,0.741364141,-2.000834646,0.915992588
AG32-199809,RBCS,Department of Agriculture,Rural Business-Cooperative Service,1998,AG32,-0.030366738,0.729198804,-1.474994629,1.397296935
AG34-199809,APHIS,Department of Agriculture,Animal and Plant Health Inspection Service,1998,AG34,-0.869997475,0.724259652,-2.282841766,0.54891676
AG36-199809,GIPSA,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",1998,AG36,-0.622792717,0.731807801,-2.061472315,0.791606487
AG37-199809,FSIS,Department of Agriculture,Food Safety and Inspection Service,1998,AG37,-1.231558203,0.726979538,-2.655131332,0.198607959
AG90-199809,AGCFO,Department of Agriculture,Office of Chief Financial Officer,1998,AG90,-0.939147271,0.724313959,-2.345304623,0.483861095
AGFA-199809,FSA,Department of Agriculture,Farm Service Agency,1998,AGFA,-1.142169342,0.736278692,-2.592032625,0.30475721
AH01-199809,NEA,National Foundation on the Arts and the Humanities,National Endowment for the Arts,1998,AH01,-0.52211575,0.738640865,-1.959289279,0.922151892
AH02-199809,NEH,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,1998,AH02,-0.349843964,0.727917706,-1.786321709,1.075801262
AH03-199809,IMLS,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,1998,AH03,0.229580628,0.73510183,-1.206540076,1.654801881
AI00-199809,USIP,United States Institute of Peace,,1998,AI00,-0.284076738,0.719772067,-1.712095816,1.128312921
AMAG-199809,USAID,Department of State,United States Agency for International Development,1998,AMAG,0.105161757,0.729869546,-1.33610875,1.542006592
AMPC-199809,OPIC,International Development Finance Corporation,Overseas Private Investment Corporation,1998,AMPC,-0.092074893,0.72913993,-1.508889215,1.336082816
AN00-199809,USADF,United States African Development Foundation,,1998,AN00,0.684841567,0.734571256,-0.773203707,2.114326209
AR-DEP-199809,ARMY,Department of Defense,Army,1998,AR-DEP,-0.704567508,0.734082277,-2.127412922,0.714790579
ARCE-199809,ARCE,Department of Defense,Army Corps of Engineers,1998,ARCE,-0.166331509,0.72602578,-1.588635811,1.267910727
AU00-199809,FLRA,Federal Labor Relations Authority,,1998,AU00,0.350914871,0.739017507,-1.09695367,1.804712213
BD00-199809,MSPB,Merit Systems Protection Board,,1998,BD00,0.746306247,0.730648003,-0.680969403,2.183864271
BF00-199809,DNFSB,Defense Nuclear Facilities Safety Board,,1998,BF00,0.89874875,0.743853561,-0.570781921,2.348668688
BG00-199809,PBGC,Department of Labor,Pension Benefit Guaranty Corporation,1998,BG00,-0.034659098,0.727698768,-1.484449108,1.377551282
BO00-199809,OMB,Executive Office of the President,Office of Management and Budget,1998,BO00,0.33414632,0.732673252,-1.098413885,1.784623554
CC00-199809,CCR,Commission on Civil Rights,,1998,CC00,0.364466448,0.72688486,-1.066289585,1.787731923
CE00-199809,CEA,Executive Office of the President,Council of Economic Advisors,1998,CE00,0.126456732,0.730242353,-1.302496751,1.533070439
CM-DEP-199809,DOC,Department of Commerce,,1998,CM-DEP,-0.182467289,0.729776966,-1.619184735,1.242390174
CM51-199809,DOCSEC,Department of Commerce,Office of the Secretary,1998,CM51,-0.013543397,0.725220945,-1.430909898,1.403284551
CM52-199809,EDA,Department of Commerce,Economic Development Administration,1998,CM52,0.091079262,0.724490157,-1.332316687,1.515326073
CM53-199809,BEA,Department of Commerce,Bureau of Economic Analysis,1998,CM53,0.297095446,0.723512574,-1.111239076,1.699080174
